MainData[UniqueID],MainData[RenewalYearMonth],MainData[Shoppers],MainData[Switchers],MainData[PreRenewalCompany],MainData[SurveyYearMonth],MainData[CurrentCompany],MainData[Renewal premium change],MainData[How much higher],MainData[How much lower],MainData[Gender],MainData[Region],MainData[Are you insured],MainData[Claimants],MainData[Did you use a PCW for shopping],MainData[StartedDateTime],MainData[Age Group],MainData[Employment status],MainData[Renewal  premium change combined],MainData[SortOrder],MainData[Retained],[SumSortOrder],[SumRenewal_premium_lower_value],[SumRenewal_premium_higher_value]
36787,202502,Shoppers,Switcher,Don’t Know / Can’t Remember,202504,LV,Higher,£31 to £40 a year,,Female,South East,Yes,Non-Claimant,Yes,10/04/2025 11:15,55-64,Houseperson,Higher by £31 to £40 a year,17,Switcher,17,,35.5
36805,202501,Shoppers,Non-switcher,Aviva,202504,Aviva,It was unchanged,,,Female,London,Yes,Non-Claimant,Yes,10/04/2025 11:57,18-24,Self employed,Unchanged,13,Retained,13,,
36850,202503,Non-shoppers,Non-switcher,LV,202504,LV,Higher,£10 or less a year,,Male,North West,Yes,Claimant,,10/04/2025 14:42,55-64,Self employed,Higher by £10 or less a year,14,Retained,14,,5.5
36886,202501,Shoppers,Non-switcher,AA,202504,AA,Higher,£41 to £50 a year,,Female,North West,Yes,Claimant,Yes,10/04/2025 15:58,18-24,Full time employed,Higher by £41 to £50 a year,18,Retained,18,,45.5
36967,202503,Non-shoppers,Non-switcher,M&S,202504,M&S,Lower,,£51 to £75 a year,Male,Wales,Yes,Non-Claimant,,10/04/2025 19:35,65+,Retired,Lower by £51 to £75 a year,7,Retained,7,63,
37003,202503,Shoppers,Non-switcher,Hastings,202504,Hastings,Higher,£51 to £75 a year,,Female,Midlands,Yes,Claimant,Yes,10/04/2025 21:26,55-64,Retired,Higher by £51 to £75 a year,19,Retained,19,,63
37015,202501,Shoppers,Non-switcher,AXA,202504,AXA,Higher,£11 to £20 a year,,Female,North East & Yorkshire,Yes,Claimant,Yes,10/04/2025 22:38,25-34,Full time employed,Higher by £11 to £20 a year,15,Retained,15,,15.5
37033,202503,Shoppers,Non-switcher,Hastings,202504,Hastings,It was unchanged,,,Male,North East & Yorkshire,Yes,Claimant,No,11/04/2025 02:00,25-34,Full time employed,Unchanged,13,Retained,13,,
37096,202502,Non-shoppers,Non-switcher,AA,202504,AA,It was unchanged,,,Male,Midlands,Yes,Non-Claimant,,11/04/2025 07:09,25-34,Full time employed,Unchanged,13,Retained,13,,
37099,202504,Non-shoppers,Non-switcher,Allianz,202504,Allianz,Lower,,£151 to £250 a year,Female,South East,Yes,Claimant,,11/04/2025 07:17,55-64,Self employed,Lower by £151 to £250 a year,3,Retained,3,200.5,
37102,202501,Shoppers,Switcher,GoSkippy,202504,One Call,Lower,,£41 to £50 a year,Male,South West,Yes,Claimant,Yes,11/04/2025 07:20,65+,Retired,Lower by £41 to £50 a year,8,Switcher,8,45.5,
37123,202503,Non-shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£41 to £50 a year,,Female,Scotland,Yes,Non-Claimant,,11/04/2025 07:38,45-54,Full time employed,Higher by £41 to £50 a year,18,Retained,18,,45.5
37144,202503,Non-shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£11 to £20 a year,,Male,East Anglia,Yes,Non-Claimant,,11/04/2025 07:58,45-54,Part time employed,Higher by £11 to £20 a year,15,Retained,15,,15.5
37195,202501,Shoppers,Non-switcher,Direct Line,202504,Direct Line,Higher,£51 to £75 a year,,Male,South West,Yes,Claimant,No,11/04/2025 09:44,65+,Retired,Higher by £51 to £75 a year,19,Retained,19,,63
37231,202503,Shoppers,Switcher,Howden,202504,Ageas,Higher,£10 or less a year,,Female,East Anglia,Yes,Non-Claimant,No,11/04/2025 09:57,65+,Retired,Higher by £10 or less a year,14,Switcher,14,,5.5
37288,202501,Shoppers,Non-switcher,AXA,202504,AXA,It was unchanged,,,Male,Midlands,Yes,Non-Claimant,Yes,11/04/2025 10:26,25-34,Full time employed,Unchanged,13,Retained,13,,
37366,202502,Non-shoppers,Non-switcher,Sheilas' Wheels,202504,Sheilas' Wheels,Lower,,£151 to £250 a year,Male,East Anglia,Yes,Non-Claimant,,11/04/2025 12:27,45-54,Unemployed,Lower by £151 to £250 a year,3,Retained,3,200.5,
37396,202503,Non-shoppers,Non-switcher,Saga,202504,Saga,Lower,,£21 to £30 a year,Female,Midlands,Yes,Non-Claimant,,11/04/2025 12:56,65+,Retired,Lower by £21 to £30 a year,10,Retained,10,25.5,
37423,202502,Shoppers,Switcher,AA,202504,Aviva,Higher,£76 to £100 a year,,Female,North West,Yes,Non-Claimant,Yes,11/04/2025 14:02,55-64,Full time employed,Higher by £76 to £100 a year,20,Switcher,20,,88
37432,202502,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£126 to £150 a year,,Female,London,Yes,Claimant,Yes,11/04/2025 14:49,25-34,Full time employed,Higher by £126 to £150 a year,22,Retained,22,,138
37435,202501,Non-shoppers,Non-switcher,RAC,202504,RAC,Higher,£76 to £100 a year,,Male,Scotland,Yes,Non-Claimant,,11/04/2025 14:53,65+,Retired,Higher by £76 to £100 a year,20,Retained,20,,88
37501,202502,Non-shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£126 to £150 a year,,Female,London,Yes,Claimant,,11/04/2025 22:31,25-34,Full time employed,Higher by £126 to £150 a year,22,Retained,22,,138
37552,202502,Shoppers,Non-switcher,AA,202504,AA,Lower,,£51 to £75 a year,Male,Midlands,Yes,Claimant,Yes,12/04/2025 07:21,25-34,Full time employed,Lower by £51 to £75 a year,7,Retained,7,63,
37558,202501,Shoppers,Non-switcher,Direct Line,202504,Direct Line,Higher,£41 to £50 a year,,Male,South West,Yes,Claimant,Yes,12/04/2025 07:32,65+,Retired,Higher by £41 to £50 a year,18,Retained,18,,45.5
37588,202502,Non-shoppers,Non-switcher,Saga,202504,Saga,It was unchanged,,,Male,Midlands,Yes,Non-Claimant,,12/04/2025 08:45,65+,Retired,Unchanged,13,Retained,13,,
37663,202503,Non-shoppers,Non-switcher,Direct Line,202504,Direct Line,It was unchanged,,,Male,Scotland,Yes,Non-Claimant,,12/04/2025 12:58,55-64,Full time employed,Unchanged,13,Retained,13,,
37732,202503,Shoppers,Switcher,Esure,202504,RAC,Higher,£21 to £30 a year,,Male,Wales,Yes,Claimant,Yes,12/04/2025 14:37,65+,Retired,Higher by £21 to £30 a year,16,Switcher,16,,25.5
37771,202504,Shoppers,Non-switcher,Direct Line,202504,Direct Line,Lower,,£31 to £40 a year,Male,South East,Yes,Claimant,Yes,12/04/2025 14:48,45-54,Full time employed,Lower by £31 to £40 a year,9,Retained,9,35.5,
37786,202504,Shoppers,Switcher,Admiral,202504,One Protect,Lower,,£41 to £50 a year,Female,East Anglia,Yes,Non-Claimant,Yes,12/04/2025 14:52,65+,Full time employed,Lower by £41 to £50 a year,8,Switcher,8,45.5,
37879,202504,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£11 to £20 a year,,Male,North West,Yes,Claimant,Yes,12/04/2025 15:31,55-64,Retired,Higher by £11 to £20 a year,15,Retained,15,,15.5
